model	TC_mean	TC_var
topic.256-400.first-2000.alpha-0-002.beta-0-002.model.ssv	0.470	0.079
topic.256-400.first-2000.alpha-0-002.beta-0-01.model.ssv	0.470	0.079
topic.256-400.first-2000.alpha-0-002.beta-0-1.model.ssv	0.478	0.084
topic.256-400.first-2000.alpha-0-01.beta-0-002.model.ssv	0.469	0.079
topic.256-400.first-2000.alpha-0-01.beta-0-01.model.ssv	0.475	0.083
topic.256-400.first-2000.alpha-0-01.beta-0-1.model.ssv	0.494	0.093
topic.256-400.first-2000.alpha-0-1.beta-0-002.model.ssv	0.475	0.083
topic.256-400.first-2000.alpha-0-1.beta-0-01.model.ssv	0.476	0.086
topic.256-400.first-2000.alpha-0-1.beta-0-1.model.ssv	0.495	0.095
embedding.model.skip-gram.ssv	0.466	0.123
embedding.model.cbow.ssv	0.433	0.067
