10	-10.24446
20	-9.52868
30	-9.27835
40	-9.14373
50	-9.06579
60	-9.01119
70	-8.97525
80	-8.94252
90	-8.92399
100	-8.90555
110	-8.89099
120	-8.88026
130	-8.86974
140	-8.86116
150	-8.85436
160	-8.8489
170	-8.84212
180	-8.84051
190	-8.83575
200	-8.83146
210	-8.83084
220	-8.82591
230	-8.82319
240	-8.82033
250	-8.81405
260	-8.82153
270	-8.82021
280	-8.81956
290	-8.81939
300	-8.81437
310	-8.81727
320	-8.81293
330	-8.81054
340	-8.80762
350	-8.80198
360	-8.80279
370	-8.79672
380	-8.79485
390	-8.79031
400	-8.7853
410	-8.78467
420	-8.78086
430	-8.77575
440	-8.77158
450	-8.77101
460	-8.7633
470	-8.76243
480	-8.75825
490	-8.75618
500	-8.75102
510	-8.75024
520	-8.74843
530	-8.74443
540	-8.74477
550	-8.74207
560	-8.74003
570	-8.7359
580	-8.73635
590	-8.73209
600	-8.73141
610	-8.72787
620	-8.72749
630	-8.72546
640	-8.72565
650	-8.72463
660	-8.72308
670	-8.7226
680	-8.72038
690	-8.72074
700	-8.71845
710	-8.71703
720	-8.71623
730	-8.71498
740	-8.71492
750	-8.71458
760	-8.71373
770	-8.7142
780	-8.71033
790	-8.7115
800	-8.71116
810	-8.71194
820	-8.71111
830	-8.708
840	-8.70824
850	-8.71045
860	-8.70961
870	-8.70795
880	-8.70846
890	-8.70735
900	-8.70802
910	-8.70855
920	-8.70477
930	-8.70716
940	-8.70528
950	-8.70675
960	-8.70697
970	-8.70589
980	-8.70624
990	-8.70655
1000	-8.70601
1010	-8.70765
1020	-8.70431
1030	-8.70309
1040	-8.70574
1050	-8.70504
1060	-8.70623
1070	-8.70576
1080	-8.70577
1090	-8.70608
1100	-8.70636
1110	-8.70495
1120	-8.70527
1130	-8.7051
1140	-8.70629
1150	-8.70443
1160	-8.70471
1170	-8.70497
1180	-8.7049
1190	-8.70352
1200	-8.7036
1210	-8.70216
1220	-8.70237
1230	-8.70155
1240	-8.70148
1250	-8.70353
1260	-8.70339
1270	-8.70318
1280	-8.70224
1290	-8.70273
1300	-8.70369
1310	-8.70117
1320	-8.70027
1330	-8.70384
1340	-8.70075
1350	-8.70278
1360	-8.70509
1370	-8.70224
1380	-8.70172
1390	-8.70121
1400	-8.69902
1410	-8.69955
1420	-8.69771
1430	-8.69907
1440	-8.70079
1450	-8.70314
1460	-8.70016
1470	-8.69959
1480	-8.69918
1490	-8.69867
1500	-8.6982
